"Title","Year","Directors","Rating10"
"La La Land",2017,"Damien Chazelle",6
"Black Mirror : Bandersnatch",2018,"David Slade",4
"Mirai no Mirai",2018,"Mamoru Hosoda",7
"Yoru wa Mijikashi Aruke yo Otome",2017,"Masaaki Yuasa",8
"Midnight Special",2016,"Jeff Nichols",6
"Réalité",2015,"Quentin Dupieux",8
"The Name of the Rose",1986,"Jean-Jacques Annaud",9
"Assassin's Creed",2016,"Justin Kurzel",2
"The Assassination of Jesse James by the Coward Robert Ford",2007,"Andrew Dominik",6
"Isle of Dogs",2018,"Wes Anderson",8
"Snatch",2000,"Guy Ritchie",7
"La Cité de la peur",1994,"Alain Berbérian",8
"Logan",2017,"James Mangold",6
"Mad Max : Fury Road",2015,"George Miller",6
"Rester vertical",2016,"Alain Guiraudie",6
"Three Billboards Outside Ebbing, Missouri",2018,"Martin McDonagh",6
"Le Monde est à toi",2018,"Romain Gavras",8
"Beoning",2018,"Lee Chang-Dong",7
"Mulholland Dr.",2001,"David Lynch",7
"Shin Seiki Evangelion Gekijô-Ban : Air/magokoro Wo, Kimi Ni",1997,"Hideaki Anno, Kazuya Tsurumaki",8
"Siu Lam Juk Kau",2001,"Stephen Chow, Lee Lik-Chi",6
"The Cabin in the Woods",2012,"Drew Goddard",6
"The Machinist",2004,"Brad Anderson",6
"Warcraft",2016,"Duncan Jones",5
"Fargo",1996,"Ethan Coen, Joel Coen",5
"John Carter",2012,"Andrew Stanton",6
"Scott Pilgrim Vs. The World",2010,"Edgar Wright",5
"Jumanji",1995,"Joe Johnston",6
"Gattaca",1997,"Andrew Niccol",8
"Pour le réconfort",2017,"Vincent Macaigne",8
"Eternal Sunshine of the Spotless Mind",2004,"Michel Gondry",7
"Shutter Island",2010,"Martin Scorsese",6
"Shaun of the Dead",2004,"Edgar Wright",8
"Sama Wozu",2009,"Mamoru Hosoda",7
"Trainspotting",1996,"Danny Boyle",7
"Hotarubi no Mori e",2011,"Takahiro Omori",7
"Beruseruku : Ougon jidai-hen III - Kourin",2013,"Toshiyuki Kubooka, Michael Sinterniklaas",8
"The Green Mile",1999,"Frank Darabont",6
"Prometheus",2012,"Ridley Scott",6
"Death Billiards",2013,"Yuzuru Tachikawa",6
"Inosensu",2004,"Mamoru Oshii",6
"The Professional",1994,"Luc Besson",7
"The Girl with the Dragon Tattoo",2011,"David Fincher",7
"Suchîmubôi",2004,"Katsuhiro Ôtomo",6
"Toki o kakeru shôjo",2006,"Mamoru Hosoda",8
"Koyaanisqatsi",1983,"Godfrey Reggio",9
"Karigurashi no Arrietty",2010,"Hiromasa Yonebayashi",8
"Inglourious Basterds",2009,"Quentin Tarantino",6
"Black Swan",2010,"Darren Aronofsky",7
"The Hurt Locker",2009,"Kathryn Bigelow",5
"Kick-Ass",2010,"Matthew Vaughn",5
"Pacific Rim",2013,"Guillermo del Toro",6
"Fate/stay night : Unlimited Blade Works",2010,"Yuji Yamaguchi",6
"The Social Network",2010,"David Fincher",6
"How to Train Your Dragon 2",2014,"Dean Deblois",5
"Dallas Buyers Club",2013,"Jean-Marc Vallée",6
"Chronicle",2012,"Josh Trank",3
"Baby Driver",2017,"Edgar Wright",5
"Les Dissociés",2015,"Raphaël Descraques",5
"In Time",2011,"Andrew Niccol",4
"Limitless",2011,"Neil Burger",4
"Star Wars: The Force Awakens",2015,"J. J. Abrams",5
"Source Code",2011,"Duncan Jones",5
"Avril et le Monde truqué",2015,"Christian Desmares, Franck Ekinci",3
"Hannibal",2001,"Ridley Scott",4
"Gangs of New York",2002,"Martin Scorsese",4
"The Mask",1994,"Chuck Russell",4
"Terminator : Salvation",2009,"McG",4
"Slumdog Millionaire",2008,"Danny Boyle, Loveleen Tandan",6
"I Am Legend",2007,"Francis Lawrence",5
"Star Trek Into Darkness",2013,"J.J. Abrams",5
"The Imitation Game",2014,"Morten Tyldum",5
"Captain America : The Winter Soldier",2014,"Anthony Russo, Joe Russo",2
"Rise of the Guardians",2012,"Peter Ramsey",2
"Valerian and the City of a Thousand Planets",2017,"Luc Besson",1
"King Arthur: Legend of the Sword",2017,"Guy Ritchie",2
"Predestination",2014,"Michael Spierig, Peter Spierig",2
"Cosmopolis",2012,"David Cronenberg",4
"Noah",2014,"Darren Aronofsky",2
"Iron Man 3",2013,"Shane Black",2
"Man of Steel",2013,"Zack Snyder",2
"Divergent",2014,"Neil Burger",1
"Maze Runner: The Scorch Trials",2015,"Wes Ball",2
"This is England",2007,"Shane Meadows",8
"The Aviator",2004,"Martin Scorsese",6
"Monty Python and the Holy Grail",1975,"Terry Gilliam, Terry Jones",7
"Iron Man",2008,"Jon Favreau",5
"The Departed",2006,"Martin Scorsese",6
"Bakemono no Ko",2015,"Mamoru Hosoda",7
"Kaze Tachinu",2013,"Hayao Miyazaki",8
"Fantastic Beasts and Where to Find Them",2016,"David Yates",3
"Contagion",2011,"Steven Soderbergh",3
"Argo",2012,"Ben Affleck",3
"The Grey",2012,"Joe Carnahan",3
"Public Enemies",2009,"Michael Mann",3
"Final Fantasy VII : Advent Children Complete",2005,"Takeshi Nozue, Tetsuya Nomura",3
"Fainaru Fantajî Sebun Adobento Chirudoren",2005,"Tetsuya Nomura, Takeshi Nozue",3
"Byōsoku Go Senchimētoru",2007,"Makoto Shinkai",3
"Elysium",2013,"Neill Blomkamp",3
"The Conjuring",2013,"James Wan",3
"Kick-Ass 2",2013,"Jeff Wadlow",3
"Now You See Me",2013,"Louis Leterrier",3
"The World's End",2013,"Edgar Wright",3
"Jurassic World",2015,"Colin Trevorrow",3
"Chappie",2015,"Neill Blomkamp",2
"Kung Fury",2015,"David Sandberg",3
"Lone Survivor",2013,"Peter Berg",3
"Godzilla",2014,"Gareth Edwards",3
"In My Room",2019,"Ulrich Köhler",8
"Freaky Friday",2003,"Mark Waters",3
"The Florida Project",2017,"Sean Baker",7
"Akira",1988,"Katsuhiro Ôtomo",9
"Ratatouille",2007,"Brad Bird, Jan Pinkava",7
"Hellboy",2004,"Guillermo del Toro",5
"X-Men: First Class",2011,"Matthew Vaughn",4
"Sense8 : A Christmas Special",2016,"Lana Wachowski",5
"The Prestige",2006,"Christopher Nolan",6
"Sutorenjia Mukō Hadan",2007,"Masahiro Andô",6
"Saving Private Ryan",1998,"Steven Spielberg",5
"Beruseruku : Ougon jidai-hen I - Haou no tamago",2012,"Toshiyuki Kubooka",5
"Taxi Driver",1976,"Martin Scorsese",6
"Titan A.E.",2000,"Don Bluth, Gary Goldman",4
"Tropa de Elite",2007,"José Padilha",5
"Beruseruku : Ougon jidai-hen II - Dorudorei koryaku",2012,"Toshiyuki Kubooka, Michael Sinterniklaas",6
"Polisse",2011,"Maïwenn",7
"Incendies",2010,"Denis Villeneuve",7
"Puella Magi Madoka ☆ Magica : Eternal Story",2012,"Akiyuki Shinbo, Gen Urobuchi, Yukihiro Miyamoto",6
"District 9",2009,"Neill Blomkamp",6
"Watchmen",2009,"Zack Snyder",7
"Kung Fu Hustle",2004,"Stephen Chow, Wellson Chin",4
"Gone Girl",2014,"David Fincher",7
"Dead Poets Society",1989,"Peter Weir",6
"Batman",1989,"Tim Burton",7
"Aliens",1986,"James Cameron",7
"Sunshine",2007,"Danny Boyle",7
"Blade Runner",1982,"Ridley Scott",8
"Star Wars Episode VI: Return of the Jedi",1983,"Richard Marquand",7
"Star Wars",1977,"George Lucas",8
"Treasure Planet",2002,"John Musker, Ron Clements",5
"Fight Club",1999,"David Fincher",8
"Monster",2003,"Patty Jenkins",7
"Tinker Tailor Soldier Spy",2011,"Tomas Alfredson",6
"The King's Speech",2010,"Tom Hooper",6
"The Dark Knight",2008,"Christopher Nolan",6
"Eve no Jikan Gekijôban",2010,"Yasuhiro Yoshiura",7
"Lord of War",2005,"Andrew Niccol",7
"Up",2009,"Pete Docter, Bob Peterson",7
"Inception",2010,"Christopher Nolan",6
"Tampopo",1985,"Jûzô Itami",8
"Moon",2009,"Duncan Jones",8
"Les filles au Moyen Âge",2016,"Hubert Viel",8
"The Beguiled",2017,"Sofia Coppola",7
"Zootopia",2016,"Byron Howard, Rich Moore, Jared Bush",4
"Guardians of the Galaxy",2014,"James Gunn",5
"Piano no Mori",2009,"Masayuki Kojima",4
"Kiss Kiss Bang Bang",2005,"Shane Black",5
"Cloverfield",2008,"Matt Reeves",5
"Captain Fantastic",2016,"Matt Ross",6
"Song to Song",2017,"Terrence Malick",4
"Kingsman: The Secret Service",2015,"Matthew Vaughn",5
"Song of the Sea",2014,"Tomm Moore",6
"Children of Men",2006,"Alfonso Cuarón",6
"Good Time",2017,"Ben Safdie, Joshua Safdie",6
"Being John Malkovich",1999,"Spike Jonze",7
"La Loi de la jungle",2016,"Antonin Peretjatko",7
"The Man Who Killed Don Quixote",2018,"Terry Gilliam",6
"The Big Lebowski",1998,"Joel Coen, Ethan Coen",7
"Ōkami Kodomo no Ame to Yuki",2012,"Mamoru Hosoda",6
"Star Wars Episode V: The Empire Strikes Back",1980,"Irvin Kershner",7
"Gladiator",2000,"Ridley Scott",9
"Ex Machina",2015,"Alex Garland",6
"Se7en",1995,"David Fincher",8
"Pulp Fiction",1994,"Quentin Tarantino",6
"Django Unchained",2012,"Quentin Tarantino",6
"Prisoners",2013,"Denis Villeneuve",7
"Requiem for a Dream",2000,"Darren Aronofsky",7
"V for Vendetta",2005,"James McTeigue",6
"Million Dollar Baby",2004,"Clint Eastwood",6
"Gran Torino",2008,"Clint Eastwood",6
"Wall-E",2008,"Andrew Stanton",8
"Astérix & Obélix : Mission Cléopâtre",2002,"Alain Chabat",7
"Batoru rowaiaru",2000,"Kinji Fukasaku",8
"Karafuru",2010,"Keiichi Hara",8
"Sweeney Todd - The Demon Barber of Fleet Street",2007,"Tim Burton",8
"Mars Attacks !",1996,"Tim Burton",7
"The Grudge",2004,"Takashi Shimizu",8
"The Chronicles of Narnia : Prince Caspian",2008,"Andrew Adamson",3
"Harry Potter and the Deathly Hallows : Part 1",2010,"David Yates",7
"Brave",2012,"Mark Andrews, Brenda Chapman, Steve Purcell (II)",7
"A.I. Artificial Intelligence",2001,"Steven Spielberg",5
"OSS 117 : Rio ne répond plus",2009,"Michel Hazanavicius",7
"Marudukku sukuranburu: Asshuku",2010,"Susumu Kudo",6
"Kara no Kyoukai: Mirai Fukuin",2013,"Tomonori Sudou",8
"Kara no Kyoukai : Shuushou",2011,"",8
"Fear and Loathing in Las Vegas",1998,"Terry Gilliam",6
"Saw",2004,"James Wan",7
"Kara no Kyoukai 4: Garan no Dou",2008,"Teiichi Takigushi",6
"Hot Fuzz",2007,"Edgar Wright",8
"Perfect Sense",2011,"David Mackenzie",5
"Guardians of the Galaxy Vol. 2",2017,"James Gunn",4
"The Descendants",2011,"Alexander Payne",8
"The Simpsons Movie",2007,"David Silverman",4
"Only God Forgives",2013,"Nicolas Winding Refn",7
"Meari to majo no hana",2018,"Hiromasa Yonebayashi",4
"Lo imposible",2012,"J.A. Bayona",2
"Kirikou et la Sorcière",1998,"Michel Ocelot",7
"Edge of Tomorrow",2014,"Doug Liman",6
"Umimachi Diary",2015,"Hirokazu Kore-eda",9
"Au poste !",2018,"Quentin Dupieux",7
"Ohayô",1959,"Yasujirô Ozu",9
"Manbiki Kazoku",2018,"Hirokazu Kore-eda",9
"Santa & Cie",2017,"Alain Chabat",4
"The Sisters Brothers",2018,"Jacques Audiard",8
"Lady Bird",2018,"Greta Gerwig",6
"Obvious Child",2014,"Gillian Robespierre",4
"Le Sens de la fête",2017,"Olivier Nakache, Eric Toledano",6
"Busanhaeng",2016,"Yeon Sang-Ho",9
"Toy Story",1995,"John Lasseter",8
"The Angels' Share",2012,"Ken Loach",9
"Cloud Atlas",2012,"Lilly Wachowski, Lana Wachowski, Tom Tykwer",4
"Ernest et Célestine",2012,"Benjamin Renner, Vincent Patar, Stéphane Aubier",9
"Star Wars: The Last Jedi",2017,"Rian Johnson",3
"Nelyubov",2017,"Andrei Zvyagintsev",8
"Detroit",2017,"Kathryn Bigelow",6
"Kramer vs. Kramer",1979,"Robert Benton",8
"Happy End",2017,"Michael Haneke",8
"Otaku, fils de l'empire du virtuel",1994,"Jackie Bastide, Jean-Jacques Beineix",9
"Death Note",2017,"Adam Wingard",2
"La Crème de la crème",2014,"Kim Chapiron",1
"Le Redoutable",2017,"Michel Hazanavicius",5
"L'Exercice de l'État",2011,"Pierre Schoeller",7
"Salinui Chueok",2003,"Bong Joon-ho",8
"Another Earth",2011,"Mike Cahill",5
"Warrior",2011,"Gavin O'Connor",6
"The Lord of the Rings: The Return of the King",2003,"Peter Jackson",9
"Alien",1979,"Ridley Scott",9
"Aoi Tamago",2006,"Yasuhiro Yoshiura",8
"Tucker & Dale vs. Evil",2012,"Eli Craig",6
"Sleepy Hollow",1999,"Tim Burton",8
"Kaze no tani no Naushika",1984,"Hayao Miyazaki",9
"Cidade de Deus",2002,"Fernando Meirelles, Katia Lund",8
"Kiseki",2011,"Hirokazu Kore-eda",8
"How to Train Your Dragon",2010,"Chris Sanders, Dean Deblois",8
"Final Fantasy: The Spirits Within",2001,"Monotori Sakakibara, Hironobu Sakaguchi",8
"Project X",2012,"Nima Nourizadeh",4
"Nacho Libre",2006,"Jared Hess",6
"Anna Karenina",2012,"Joe Wright",6
"A Scanner Darkly",2006,"Richard Linklater",7
"An American Crime",2007,"Tommy O'Haver",6
"The Godfather",1972,"Francis Ford Coppola",8
"Collateral",2004,"Michael Mann",8
"Dare mo shiranai",2004,"Hirokazu Kore-eda",9
"The Revenant",2015,"Alejandro González Inárritu",8
"Hunger",2008,"Steve McQueen",8
"The Pianist",2002,"Roman Polanski",9
"Persepolis",2007,"Marjane Satrapi, Vincent Paronnaud (Winshluss)",8
"Minority Report",2002,"Steven Spielberg",6
"I, Pet Goat II",2012,"Heliofant",8
"A Dangerous Method",2011,"David Cronenberg",4
"Burn After Reading",2008,"Joel Coen, Ethan Coen",6
"From Dusk till Dawn",1996,"Robert Rodriguez",6
"Mr. Nobody",2009,"Jaco van Dormael",7
"Interstellar",2014,"Christopher Nolan",8
"Dog Pound",2010,"Kim Chapiron",8
"The Hateful Eight",2015,"Quentin Tarantino",7
"Harry Potter and the Deathly Hallows: Part 2",2011,"David Yates",5
"The Dark knight rises",2012,"Christopher Nolan",5
"Batman Begins",2005,"Christopher Nolan",5
"Casino Royale",2006,"Martin Campbell",6
"Match Point",2005,"Woody Allen",9
"Vals Im Bashir",2008,"Ari Folman",7
"Elephant",2003,"Gus Van Sant",8
"Looper",2012,"Rian Johnson",4
"The Martian",2015,"Ridley Scott",5
"King Kong",2005,"Peter Jackson",5
"28 Weeks Later",2007,"Juan Carlos Fresnadillo",5
"Inside Out",2015,"Pete Docter, Ronnie del Carmen",6
"Zombieland",2009,"Ruben Fleischer",6
"Pirates of the Caribbean: At World's End",2007,"Gore Verbinski",6
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,"Gore Verbinski",6
"The Raid : Redemption",2012,"Gareth Evans",7
"Trigun : Badlands Rumbles",2010,"Nishimura Satoshi, Yasuhiro Nightow",7
"Star Wars: Episode III - Revenge of the Sith",2005,"George Lucas",7
"Whiplash",2014,"Damien Chazelle",8
"12 Years a Slave",2013,"Steve McQueen",7
"A Most Violent Year",2014,"J.C. Chandor",7
"Evangerion Shin Gekijōban: Q",2012,"Hideaki Anno, Mahiro Maeda",9
"Mononoke Hime",1997,"Hayao Miyazaki",9
"Birdman or (The Unexpected Virtue of Ignorance)",2014,"Alejandro González Inárritu",8
"The Curious Case of Benjamin Button",2008,"David Fincher",6
"Avatar",2009,"James Cameron",4
"The Blair Witch Project",1999,"Daniel Myrick, Eduardo Sanchez",7
"Dunkirk",2017,"Christopher Nolan",5
"Chugyeogja",2008,"Na Hong-Jin",8
"Chicken Run",2000,"Peter Lord, Nick Park",8
"Okja",2017,"Bong Joon-ho",7
"The Incredibles",2004,"Brad Bird",7
"The Lost City of Z",2017,"James Gray",8
"Tout en haut du monde",2016,"Rémi Chayé",7
"Piper",2016,"Alan Barillaro",8
"Insomnia",2002,"Christopher Nolan",6
"Kaguyahime no Monogatari",2013,"Isao Takahata",8
"Bleeder",1999,"Nicolas Winding Refn",8
"Uncanny Valley",2015,"Federico Heller",5
"A Bigger Splash",2016,"Luca Guadagnino",6
"Macbeth",2015,"Justin Kurzel",7
"Oblivion",2013,"Joseph Kosinski",5
"The Raid 2 : Berandal",2014,"Gareth Evans",7
"Short Term 12",2013,"Destin Cretton",5
"The Maze Runner",2014,"Wes Ball",5
"Dracula Untold",2014,"Gary Shore",4
"Sicario",2015,"Denis Villeneuve",3
"Deadpool",2016,"Tim Miller",4
"The Hobbit : An Unexpected Journey",2012,"Peter Jackson",4
"Marudukku sukuranburu : Haiki",2012,"Susumu Kudo",4
"Nerawareta Gakuen",2012,"Ryosuke Nakamura",3
"Tron : Legacy",2010,"Joseph Kosinski",3
"Ender's Game",2013,"Gavin Hood",4
"The Hobbit: The Desolation of Smaug",2013,"Peter Jackson",4
"Lawless",2012,"John Hillcoat",6
"Arve Rezzle : Kikaijikake no Yoseitachi",2013,"Tatsuya Yoshihara",4
"Mission: Impossible - Rogue Nation",2015,"Christopher McQuarrie",4
"Rakuen Tsuihō",2014,"Seiji Mizushima",4
"X-Men : Days of Future Past",2014,"Bryan Singer",4
"Big Hero 6",2014,"Chris Williams, Don Hall",6
"Memento",2000,"Christopher Nolan",8
"My Blueberry Nights",2007,"Wong Kar-Wai",
"Hancock",2008,"Peter Berg",2
"Non-Stop",2014,"Jaume Collet-Serra",
"Babysitting",2014,"Nicolas Benamou, Philippe Lacheau",
"Her",2013,"Spike Jonze",5
"La possibilité d'être humain",2014,"Pablo Girault, Thierry Kruger",7
"Seolgungnyeolcha",2013,"Bong Joon-ho",8
"Reservoir Dogs",1992,"Quentin Tarantino",7
"Evangerion Shin Gekijōban: Ha",2009,"Hideaki Anno, Masayuki, Kazuya Tsurumaki",9
"Evangerion Shin Gekijōban : Jo",2007,"Hideaki Anno, Masayuki, Kazuya Tsurumaki",8
"Un monde sans humains ?",2012,"Philippe Borrel",8
"Memorîzu",1995,"Koji Morimoto, Tensai Okamura, Katsuhiro Ôtomo",8
"The Iron Lady",2012,"Phyllida Lloyd",2
"Juste la fin du monde",2016,"Xavier Dolan",6
"Goksung",2016,"Na Hong-jin",7
"Margin Call",2011,"J.C. Chandor",6
"Skyfall",2012,"Sam Mendes",6
"You're Next",2013,"Adam Wingard",5
"Hana-bi",1997,"Takeshi Kitano",
"Soshite Chichi ni Naru",2013,"Hirokazu Kore-eda",9
"Back to the Future Part II",1989,"Robert Zemeckis",6
"Who Framed Roger Rabbit",1988,"Robert Zemeckis",5
"Back to the Future",1985,"Robert Zemeckis",7
"A Clockwork Orange",1971,"Stanley Kubrick",8
"Fury",2014,"David Ayer",5
"Super Size Me",2004,"Morgan Spurlock",6
"Urbance",2015,"Joël Dos Reis Viegas, Sébastien Larroudé",6
"The Adventures of Tintin : The Secret of the Unicorn",2011,"Steven Spielberg",5
"The Postman Always Rings Twice",1946,"Tay Garnett",7
"Silent Hill",2006,"Christophe Gans",7
"The Exorcist",1973,"William Friedkin",6
"The Kingdom",2007,"Peter Berg",2
"The Hobbit: The Battle of the Five Armies",2014,"Peter Jackson",2
"Machete Kills",2013,"Robert Rodriguez",4
"Furious 6",2013,"Justin Lin",4
"Evil Dead",2013,"Fede Alvarez",7
"World War Z",2013,"Marc Forster",5
"The Hunger Games : Catching Fire",2013,"Francis Lawrence",1
"Rush",2013,"Ron Howard",7
"Zero Dark Thirty",2012,"Kathryn Bigelow",1
"The Wolf of Wall Street",2013,"Martin Scorsese",7
"Gravity",2013,"Alfonso Cuarón",5
"Dark City",1998,"Alex Proyas",6
"Self/less",2015,"Tarsem Singh",1
"The Hunger Games: Mockingjay, Part 1",2014,"Francis Lawrence",1
"Take Shelter",2011,"Jeff Nichols",7
"No Country for Old Men",2007,"Ethan Coen, Joel Coen",8
"Neko no ongaeshi",2002,"Hiroyuki Morita",7
"Wanderers",2014,"Erik Wernquist",9
"Seppuku",1962,"Masaki Kobayashi",9
"Pāfekuto Burū",1998,"Satoshi Kon",8
"Captain Phillips",2013,"Paul Greengrass",5
"Nightcrawler",2014,"Dan Gilroy",6
"Kill Bill: Vol. 1",2003,"Quentin Tarantino",7
"Donnie Darko",2001,"Richard Kelly",9
"The Lord of the Rings: The Fellowship of the Ring",2001,"Peter Jackson",9
"Lost in Translation",2003,"Sofia Coppola",8
"Kurenai no Buta",1992,"Hayao Miyazaki",9
"Tōkyō Goddofāzāzu",2003,"Satoshi Kon, Shôgo Furuya",8
"The Shining",1980,"Stanley Kubrick",9
"The Matrix",1999,"Lilly Wachowski, Lana Wachowski",9
"One Flew Over the Cuckoo's Nest",1975,"Milos Forman",8
"Hotaru no Haka",1988,"Isao Takahata",9
"Sen to Chihiro no Kamikakushi",2001,"Hayao Miyazaki",9
"American Hustle",2013,"David O. Russell",3
"The Grand Budapest Hotel",2014,"Wes Anderson",7
"Only Lovers Left Alive",2013,"Jim Jarmusch",7
"Kara no Kyōkai : Tsuukaku Zanryuu",2008,"Obunai Mitsuru",8
"OSS 117 : Le Caire, nid d'espions",2006,"Michel Hazanavicius",8
"Kara no Kyōkai : Satsujin Kousatsu (Kou)",2009,"Shinsuke Takizawa",9
"Redline",2010,"Takeshi Koike",8
"Papurika",2006,"Satoshi Kon",7
"The Road",2009,"John Hillcoat",7
"The Backwater Gospel",2011,"Bo Mathorne",8
"Paperman",2012,"John Kahrs",8
"The Animatrix",2003,"Peter Chung, Andrew R. Jones, Yoshiaki Kawajiri",8
"9",2009,"Shane Acker",7
"2001: A Space Odyssey",1968,"Stanley Kubrick",8
"Oldeuboi",2003,"Park Chan-wook",8
"La Haine",1995,"Mathieu Kassovitz",8
"The Fountain",2006,"Darren Aronofsky",5
"2046",2004,"Wong Kar-Wai",8
"Gin-iro no kami no Agito",2006,"Keiichi Sugiyama",5
"Kōkaku kidōtai 2.0",2008,"Mamoru Oshii",3
"Gekijōban Kaubōi Bibappu : Tengoku no Tobira",2001,"Shinichirô Watanabe",8
"Kingdom of Heaven",2005,"Ridley Scott",8
"Exodus : Gods and Kings",2014,"Ridley Scott",3
"The Emperor's New Groove",2000,"Mark Dindal",8
"Letters from Iwo Jima",2006,"Clint Eastwood",6
"The Boat That Rocked",2009,"Richard Curtis",7
"Moneyball",2011,"Bennett Miller",7
"Hot Shots !",1991,"Jim Abrahams",4
"Hauru no Ugoku Shiro",2004,"Hayao Miyazaki",8
"The Lord of the Rings : The Two Towers",2002,"Peter Jackson",9
"Tenkū no shiro Rapyuta",1986,"Hayao Miyazaki",9
"Kôkaku kidôtai",1995,"Mamoru Oshii",9
"Ashura",2012,"Kei'ichi Sato",5
"Tropic Thunder",2008,"Ben Stiller",6
"Drive",2011,"Nicolas Winding Refn",8
"The Thing",1982,"John Carpenter",9
"Kara no Kyoukai: Fukan Fuukei",2007,"Ei Aoki",8
"28 Days Later",2002,"Danny Boyle",8
"The Silence of the Lambs",1991,"Jonathan Demme",9